[00:00:00.000 --> 00:00:04.840]   Atmosphere.
[00:07:53.360 --> 00:08:01.520]   I will explore this concept through creating an animation of sauntering fireflies that will dance,
[00:08:01.520 --> 00:08:03.560]   float and flutter throughout the scene.
[00:08:03.560 --> 00:08:09.560]   We will create these dancing fireflies through the use of a particle system in Blender.
[00:08:10.560 --> 00:08:15.560]   We will use our ground plane as the source that will generate the tiny orbs of light,
[00:08:15.560 --> 00:08:20.560]   and then we will animate it through the use of a physics system called Boids.
[00:08:20.560 --> 00:08:27.560]   Particle emitters can also be used to create rain or snow in a scene.
[00:08:27.560 --> 00:08:33.560]   If you want to know more about how to create a particle system in Blender, please see the notes in our written guide.
[00:08:33.560 --> 00:08:41.560]   We decided to use the Boids system to simulate the flight and the flutter of the fireflies, whose blooming light will add further ambience to the scene.
[00:08:41.560 --> 00:08:48.560]   The Boids system generates a natural flight trajectory for our fireflies.
[00:08:48.560 --> 00:08:57.560]   Finally, to turn up the drama, mood and mystery in the scene, we will also explore importing atmospheric fog into our environment.
[00:08:58.560 --> 00:09:08.560]   Now, I will tweak the settings to increase the density, depth, visibility and color of the fog to create varying moods for our speculative scene of New Echota.
[00:09:08.560 --> 00:09:28.560]   [Music]
[00:09:29.560 --> 00:09:38.560]   As I practice, I enjoy infusing cosmic drama into the worlds that I build, and I do this mostly through overlaying and merging of colors.
[00:09:38.560 --> 00:09:49.560]   This creates a hazy environment of floating auras that coat our sky and changes the dynamic of the scene, depending on the density level of the fog.
[00:09:51.560 --> 00:10:00.560]   This is the end result of my speculative play, and another way you can create emotional space in the worldbuilding development of your relational reconstructions. Thank you.
[00:10:00.560 --> 00:10:15.560]   That concludes this portion of the Relational Reconstruction Toolkit. Next, we'll discuss the crafting of historical soundscapes with artist Ann Chen.
[00:10:15.560 --> 00:10:18.560]   For more on these techniques, see the written guide.
[00:10:19.560 --> 00:10:22.560]   [Music]
